DATE,IRSTCI01INM156N
1/1/1968,6
2/1/1968,6
3/1/1968,5
4/1/1968,5
5/1/1968,5
6/1/1968,5
7/1/1968,5
8/1/1968,5
9/1/1968,5
10/1/1968,5
11/1/1968,5
12/1/1968,5
1/1/1969,5
2/1/1969,5
3/1/1969,5
4/1/1969,5
5/1/1969,5
6/1/1969,5
7/1/1969,5
8/1/1969,5
9/1/1969,5
10/1/1969,5
11/1/1969,5
12/1/1969,5
1/1/1970,5
2/1/1970,5
3/1/1970,5
4/1/1970,5
5/1/1970,5
6/1/1970,5
7/1/1970,5
8/1/1970,5
9/1/1970,5
10/1/1970,5
11/1/1970,5
12/1/1970,5
1/1/1971,6
2/1/1971,6
3/1/1971,6
4/1/1971,6
5/1/1971,6
6/1/1971,6
7/1/1971,6
8/1/1971,6
9/1/1971,6
10/1/1971,6
11/1/1971,6
12/1/1971,6
1/1/1972,6
2/1/1972,6
3/1/1972,6
4/1/1972,6
5/1/1972,6
6/1/1972,6
7/1/1972,6
8/1/1972,6
9/1/1972,6
10/1/1972,6
11/1/1972,6
12/1/1972,6
1/1/1973,6
2/1/1973,6
3/1/1973,6
4/1/1973,6
5/1/1973,7
6/1/1973,7
7/1/1973,7
8/1/1973,7
9/1/1973,7
10/1/1973,7
11/1/1973,7
12/1/1973,7
1/1/1974,7
2/1/1974,7
3/1/1974,7
4/1/1974,7
5/1/1974,7
6/1/1974,7
7/1/1974,9
8/1/1974,9
9/1/1974,9
10/1/1974,9
11/1/1974,9
12/1/1974,9
1/1/1975,9
2/1/1975,9
3/1/1975,9
4/1/1975,9
5/1/1975,9
6/1/1975,9
7/1/1975,9
8/1/1975,9
9/1/1975,9
10/1/1975,9
11/1/1975,9
12/1/1975,9
1/1/1976,9
2/1/1976,9
3/1/1976,9
4/1/1976,9
5/1/1976,9
6/1/1976,9
7/1/1976,9
8/1/1976,9
9/1/1976,9
10/1/1976,9
11/1/1976,9
12/1/1976,9
1/1/1977,9
2/1/1977,9
3/1/1977,9
4/1/1977,9
5/1/1977,9
6/1/1977,9
7/1/1977,9
8/1/1977,9
9/1/1977,9
10/1/1977,9
11/1/1977,9
12/1/1977,9
1/1/1978,9
2/1/1978,9
3/1/1978,9
4/1/1978,9
5/1/1978,9
6/1/1978,9
7/1/1978,9
8/1/1978,9
9/1/1978,9
10/1/1978,9
11/1/1978,9
12/1/1978,9
1/1/1979,9
2/1/1979,9
3/1/1979,9
4/1/1979,9
5/1/1979,9
6/1/1979,9
7/1/1979,9
8/1/1979,9
9/1/1979,9
10/1/1979,9
11/1/1979,9
12/1/1979,9
1/1/1980,9
2/1/1980,9
3/1/1980,9
4/1/1980,9
5/1/1980,9
6/1/1980,9
7/1/1980,9
8/1/1980,9
9/1/1980,9
10/1/1980,9
11/1/1980,9
12/1/1980,9
1/1/1981,9
2/1/1981,9
3/1/1981,9
4/1/1981,9
5/1/1981,9
6/1/1981,9
7/1/1981,10
8/1/1981,10
9/1/1981,10
10/1/1981,10
11/1/1981,10
12/1/1981,10
1/1/1982,10
2/1/1982,10
3/1/1982,10
4/1/1982,10
5/1/1982,10
6/1/1982,10
7/1/1982,10
8/1/1982,10
9/1/1982,10
10/1/1982,10
11/1/1982,10
12/1/1982,10
1/1/1983,10
2/1/1983,10
3/1/1983,10
4/1/1983,10
5/1/1983,10
6/1/1983,10
7/1/1983,10
8/1/1983,10
9/1/1983,10
10/1/1983,10
11/1/1983,10
12/1/1983,10
1/1/1984,10
2/1/1984,10
3/1/1984,10
4/1/1984,10
5/1/1984,10
6/1/1984,10
7/1/1984,10
8/1/1984,10
9/1/1984,10
10/1/1984,10
11/1/1984,10
12/1/1984,10
1/1/1985,10
2/1/1985,10
3/1/1985,10
4/1/1985,10
5/1/1985,10
6/1/1985,10
7/1/1985,10
8/1/1985,10
9/1/1985,10
10/1/1985,10
11/1/1985,10
12/1/1985,10
1/1/1986,10
2/1/1986,10
3/1/1986,10
4/1/1986,10
5/1/1986,10
6/1/1986,10
7/1/1986,10
8/1/1986,10
9/1/1986,10
10/1/1986,10
11/1/1986,10
12/1/1986,10
1/1/1987,10
2/1/1987,10
3/1/1987,10
4/1/1987,10
5/1/1987,10
6/1/1987,10
7/1/1987,10
8/1/1987,10
9/1/1987,10
10/1/1987,10
11/1/1987,10
12/1/1987,10
1/1/1988,10
2/1/1988,10
3/1/1988,10
4/1/1988,10
5/1/1988,10
6/1/1988,10
7/1/1988,10
8/1/1988,10
9/1/1988,10
10/1/1988,10
11/1/1988,10
12/1/1988,10
1/1/1989,10
2/1/1989,10
3/1/1989,10
4/1/1989,10
5/1/1989,10
6/1/1989,10
7/1/1989,10
8/1/1989,10
9/1/1989,10
10/1/1989,10
11/1/1989,10
12/1/1989,10
1/1/1990,10
2/1/1990,10
3/1/1990,10
4/1/1990,10
5/1/1990,10
6/1/1990,10
7/1/1990,10
8/1/1990,10
9/1/1990,10
10/1/1990,10
11/1/1990,10
12/1/1990,10
1/1/1991,10
2/1/1991,10
3/1/1991,10
4/1/1991,10
5/1/1991,10
6/1/1991,10
7/1/1991,11
8/1/1991,11
9/1/1991,11
10/1/1991,12
11/1/1991,12
12/1/1991,12
1/1/1992,12
2/1/1992,12
3/1/1992,12
4/1/1992,12
5/1/1992,12
6/1/1992,12
7/1/1992,12
8/1/1992,12
9/1/1992,12
10/1/1992,12
11/1/1992,12
12/1/1992,12
1/1/1993,12
2/1/1993,12
3/1/1993,12
4/1/1993,12
5/1/1993,12
6/1/1993,12
7/1/1993,12
8/1/1993,12
9/1/1993,12
10/1/1993,12
11/1/1993,12
12/1/1993,12
1/1/1994,12
2/1/1994,12
3/1/1994,12
4/1/1994,12
5/1/1994,12
6/1/1994,12
