iShares Core U.S. Aggregate Bond ETF
Fund Holdings as of,"Jan 28, 2020"
Inception Date,"Sep 22, 2003"
Shares Outstanding,"631,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Asset Class,Weight (%),Price,Market Value,Notional Value,Sector,SEDOL,ISIN,Coupon (%),Maturity,YTM (%),Yield to Worst (%),Duration,Par Value
"BLACKROCK CASH CL INST SL AGENCY","Money Market","5.05","1.00","3,636,200,870.71","3,636,200,870.71","Cash and/or Derivatives","BKGRT85","US0669225197","1.65","-","1.86","1.86","0.09","3,634,020,458.00"
"FNMA 30YR 2016 PRODUCTION","Fixed Income","1.06","102.96","761,890,444.02","761,890,444.02","MBS Pass-Through","-","-","3.00","Dec 01, 2046","2.43","2.43","3.07","738,348,211.00"
"GNMA2 30YR 2017 PRODUCTION","Fixed Income","0.92","105.27","663,028,419.25","663,028,419.25","MBS Pass-Through","-","-","4.00","Nov 20, 2047","2.49","2.49","1.20","628,058,737.00"
"GNMA2 30YR 2017 PRODUCTION","Fixed Income","0.77","104.23","551,166,100.82","551,166,100.82","MBS Pass-Through","-","-","3.50","Feb 20, 2047","2.41","2.41","2.45","527,463,475.00"
"FGOLD 30YR 2016 PRODUCTION","Fixed Income","0.74","103.02","533,158,303.97","533,158,303.97","MBS Pass-Through","-","-","3.00","Dec 01, 2046","2.41","2.41","3.07","516,394,086.00"
"UMBS 30YR TBA(REG A)","Fixed Income","0.71","103.12","512,579,194.48","512,579,194.48","MBS Pass-Through","-","US01F0326250","3.50","Feb 12, 2020","2.27","2.27","1.95","496,546,000.00"
"UMBS 30YR TBA(REG A)","Fixed Income","0.69","101.99","494,829,953.45","494,829,953.45","MBS Pass-Through","-","US01F0306294","3.00","Feb 12, 2020","2.42","2.42","3.07","484,758,292.00"
"GNMA2 30YR 2016 PRODUCTION","Fixed Income","0.68","103.48","492,474,502.45","492,474,502.45","MBS Pass-Through","-","-","3.00","Jul 20, 2046","2.26","2.26","3.71","474,880,649.00"
"TREASURY NOTE","Fixed Income","0.67","104.31","483,346,264.37","483,346,264.37","Treasury","BM7S9P8","US912828WJ58","2.50","May 15, 2024","1.46","1.46","4.06","461,150,000.00"
"TREASURY NOTE","Fixed Income","0.62","99.70","444,681,762.83","444,681,762.83","Treasury","BZ56W78","US9128282A70","1.50","Aug 15, 2026","1.55","1.55","6.17","443,000,000.00"
"TREASURY NOTE","Fixed Income","0.56","99.41","399,869,315.22","399,869,315.22","Treasury","BDHC7H5","US912828S760","1.13","Jul 31, 2021","1.52","1.52","1.48","400,000,000.00"
"TREASURY NOTE","Fixed Income","0.55","100.78","393,611,158.86","393,611,158.86","Treasury","BDFFCZ9","US912828V723","1.88","Jan 31, 2022","1.48","1.48","1.95","387,000,000.00"
"TREASURY BOND","Fixed Income","0.52","130.55","376,402,573.35","376,402,573.35","Treasury","2388704","US912810FG86","5.25","Feb 15, 2029","1.61","1.61","7.37","283,190,000.00"
"FNMA 30YR 4% LTV > 90 2017","Fixed Income","0.51","105.24","364,516,746.16","364,516,746.16","MBS Pass-Through","-","-","4.00","Jul 01, 2047","2.38","2.38","1.31","345,371,311.00"
"TREASURY NOTE","Fixed Income","0.47","104.13","341,553,453.10","341,553,453.10","Treasury","BFXTNR6","US9128284L18","2.75","Apr 30, 2023","1.45","1.45","3.10","325,917,900.00"
"TREASURY NOTE (OLD)","Fixed Income","0.47","99.89","337,090,454.62","337,090,454.62","Treasury","BK9DLB7","US912828YB05","1.63","Aug 15, 2029","1.64","1.64","8.74","335,000,000.00"
"TREASURY NOTE","Fixed Income","0.47","102.12","335,919,503.79","335,919,503.79","Treasury","B64GN62","US912828PX26","3.63","Feb 15, 2021","1.58","1.58","1.02","323,771,000.00"
