iShares CMBS ETF
Fund Holdings as of,"Jan 28, 2020"
Inception Date,"Feb 14, 2012"
Shares Outstanding,"8,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Asset Class,Weight (%),Price,Market Value,Notional Value,Sector,SEDOL,ISIN,Coupon (%),Maturity,YTM (%),Yield to Worst (%),Duration,Par Value
"FHMS_K103 A2","Fixed Income","1.09","104.78","4,724,101.12","4,724,101.12","Agency CMBS","-","US3137FQKN20","2.65","Nov 25, 2029","2.08","2.08","8.36","4,500,000.00"
"FNMA_19-M6 A1","Fixed Income","0.73","106.56","3,156,368.37","3,156,368.37","Agency CMBS","-","US3136B4KH07","3.30","Aug 25, 2028","2.00","2.00","5.00","2,955,180.00"
"FHMS_K089 A2","Fixed Income","0.68","111.26","2,955,513.86","2,955,513.86","Agency CMBS","-","US3137FL6P46","3.56","Jan 25, 2029","2.13","2.13","7.52","2,650,000.00"
"FHMS_K063 A2","Fixed Income","0.66","109.34","2,849,437.50","2,849,437.50","Agency CMBS","BYPZJK0","US3137BVZ821","3.43","Jan 25, 2027","1.90","1.90","5.91","2,600,000.00"
"FHMS_K065 A2","Fixed Income","0.64","107.94","2,780,406.54","2,780,406.54","Agency CMBS","BYZ6DK1","US3137F1G447","3.24","Apr 25, 2027","1.98","1.98","6.17","2,570,000.00"
"FHMS_K060 A2","Fixed Income","0.59","108.01","2,534,861.42","2,534,861.42","Agency CMBS","-","US3137BTAC59","3.30","Oct 25, 2026","1.95","1.95","5.81","2,341,496.00"
"BMARK_18-B6 A4","Fixed Income","0.53","115.08","2,308,083.50","2,308,083.50","Non-Agency CMBS","-","US08162CAD20","4.26","Oct 10, 2051","2.24","2.24","6.98","2,000,000.00"
"FHMS_K085 A2","Fixed Income","0.53","114.37","2,293,398.00","2,293,398.00","Agency CMBS","-","US3137FK4M50","4.06","Oct 25, 2028","2.13","2.13","7.04","2,000,000.00"
"FHMS_K051 A2","Fixed Income","0.53","107.17","2,287,960.80","2,287,960.80","Agency CMBS","-","US3137BM7C47","3.31","Sep 25, 2025","1.85","1.85","4.85","2,130,000.00"
"BMARK_19-B9 A5","Fixed Income","0.53","113.67","2,279,353.40","2,279,353.40","Non-Agency CMBS","-","US08160JAE73","4.02","Mar 15, 2052","2.26","2.26","7.34","2,000,000.00"
"FHMS_K076 A2","Fixed Income","0.52","112.75","2,260,844.00","2,260,844.00","Agency CMBS","-","US3137FEZU77","3.90","Apr 25, 2028","2.10","2.10","6.72","2,000,000.00"
"FHMS_K088 A2","Fixed Income","0.52","112.07","2,247,007.00","2,247,007.00","Agency CMBS","-","US3137FKZZ25","3.69","Jan 25, 2029","2.15","2.15","7.50","2,000,000.00"
"BLK CSH FND TREASURY SL AGENCY","Money Market","0.52","1.00","2,232,999.99","2,232,999.99","Cash and/or Derivatives","-","US0669224778","1.65","-","1.61","1.61","0.11","2,233,000.00"
"FNMA_19-M1 A2","Fixed Income","0.51","110.66","2,218,705.50","2,218,705.50","Agency CMBS","-","US3136B3XY10","3.67","Sep 25, 2028","2.22","2.22","7.38","2,000,000.00"
"DBJPM_16-C3 A5","Fixed Income","0.51","104.43","2,197,554.45","2,197,554.45","Non-Agency CMBS","-","US23312VAF31","2.89","Aug 12, 2049","2.14","2.14","5.75","2,100,000.00"
"FHMS_K092 A2","Fixed Income","0.51","109.44","2,193,767.00","2,193,767.00","Agency CMBS","-","US3137FLYV03","3.30","Apr 25, 2029","2.12","2.12","7.73","2,000,000.00"
"CGCMT_19-C7 A4","Fixed Income","0.49","105.97","2,123,985.00","2,123,985.00","Non-Agency CMBS","-","US17328CAD48","3.10","Dec 15, 2072","2.41","2.41","8.35","2,000,000.00"
"CSAIL_19-C17 A5","Fixed Income","0.49","105.24","2,109,390.15","2,109,390.15","Non-Agency CMBS","-","US12597BAU35","3.02","Sep 15, 2052","2.39","2.39","8.12","2,000,000.00"
"FHMS_K734 A2","Fixed Income","0.48","106.19","2,075,416.20","2,075,416.20","Agency CMBS","-","-","3.21","Feb 25, 2026","1.99","1.99","5.03","1,950,000.00"
"JPMBB_14-C23 A5","Fixed Income","0.48","108.11","2,059,686.74","2,059,686.74","Non-Agency CMBS","-","US46643ABE29","3.93","Sep 15, 2047","2.01","2.01","4.09","1,900,000.00"
"FHMS_K087 A2","Fixed Income","0.47","112.57","2,031,305.85","2,031,305.85","Agency CMBS","-","US3137FKUP97","3.77","Dec 25, 2028","2.12","2.12","7.28","1,800,000.00"
"FNMA_16-M9 A2","Fixed Income","0.47","101.32","2,029,774.00","2,029,774.00","Agency CMBS","-","US3136ATYT54","2.29","Jun 25, 2026","2.05","2.05","5.82","2,000,000.00"
"BANK_19-BN16 A4","Fixed Income","0.46","113.42","1,990,160.81","1,990,160.81","Non-Agency CMBS","BJDQ8J2","US065405AE24","4.00","Feb 15, 2052","2.29","2.29","7.37","1,750,000.00"
"FHMS_K079 A2","Fixed Income","0.46","113.31","1,988,160.12","1,988,160.12","Agency CMBS","-","US3137FGZT52","3.93","Jun 25, 2028","2.10","2.10","6.95","1,750,000.00"
"FHMS_K054 A2","Fixed Income","0.41","104.45","1,779,083.57","1,779,083.57","Agency CMBS","-","US3137BNGT50","2.75","Jan 25, 2026","1.88","1.88","5.18","1,700,000.00"
"FHLMC_K028 A2","Fixed Income","0.41","103.23","1,769,212.60","1,769,212.60","Agency CMBS","-","US3137B2HN38","3.11","Feb 25, 2023","1.83","1.83","2.62","1,710,000.00"
"CFCRE_16-C4 A4","Fixed Income","0.41","105.91","1,751,630.51","1,751,630.51","Non-Agency CMBS","BD6CSZ1","US12531YAN85","3.28","May 10, 2058","2.20","2.20","5.31","1,650,000.00"
"COMM_12-CR5 A4","Fixed Income","0.40","101.98","1,716,706.74","1,716,706.74","Non-Agency CMBS","B8KF9M5","US12623SAE00","2.77","Dec 10, 2045","1.97","1.97","2.49","1,680,000.00"
