iShares MSCI EAFE ETF
Fund Holdings as of,"Jan 28, 2020"
Inception Date,"Aug 14, 2001"
Shares Outstanding,"928,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Location,Currency,Market Currency,FX Rate
"NESN","NESTLE SA","Equity","2.25","111.54","12,863,249.00","1,434,724,142.71","1,434,724,142.71","Consumer Staples","7123870","CH0038863350","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.97"
"ROG","ROCHE HOLDING PAR AG","Equity","1.58","330.39","3,036,707.00","1,003,296,685.58","1,003,296,685.58","Health Care","7110388","CH0012032048","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.97"
"NOVN","NOVARTIS AG","Equity","1.39","95.08","9,285,522.00","882,832,553.25","882,832,553.25","Health Care","7103065","CH0012005267","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.97"
"7203","TOYOTA MOTOR CORP","Equity","1.10","70.98","9,872,664.00","700,783,654.10","700,783,654.10","Consumer Discretionary","6900643","JP3633400001","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"HSBA","HSBC HOLDINGS PLC","Equity","1.01","7.37","87,266,492.00","643,143,696.23","643,143,696.23","Financials","0540528","GB0005405286","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"AZN","ASTRAZENECA PLC","Equity","0.88","99.32","5,670,389.00","563,212,986.47","563,212,986.47","Health Care","0989529","GB0009895292","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SAP","SAP","Equity","0.88","131.83","4,242,339.00","559,267,516.43","559,267,516.43","Information Technology","4846288","DE0007164600","Xetra","Germany","USD","EUR","0.91"
"1299","AIA GROUP LTD","Equity","0.88","10.67","52,251,000.00","557,720,293.21","557,720,293.21","Financials","B4TX8S1","HK0000069689","Hong Kong Exchanges And Clearing Ltd","Hong Kong","USD","HKD","7.78"
"BP.","BP PLC","Equity","0.86","6.25","88,052,635.00","550,688,091.42","550,688,091.42","Energy","0798059","GB0007980591","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"MC","LVMH","Equity","0.86","453.22","1,201,552.00","544,568,118.37","544,568,118.37","Consumer Discretionary","4061412","FR0000121014","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"FP","TOTAL SA","Equity","0.83","51.12","10,373,820.00","530,359,719.11","530,359,719.11","Energy","B15C557","FR0000120271","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"ASML","ASML HOLDING NV","Equity","0.83","287.94","1,839,840.00","529,760,010.91","529,760,010.91","Information Technology","B929F46","NL0010273215","Euronext Amsterdam","Netherlands","USD","EUR","0.91"
"RDSA","ROYAL DUTCH SHELL PLC","Equity","0.81","27.90","18,493,546.00","515,938,827.26","515,938,827.26","Energy","B03MLX2","GB00B03MLX29","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"GSK","GLAXOSMITHKLINE PLC","Equity","0.79","23.26","21,562,151.00","501,616,360.95","501,616,360.95","Health Care","0925288","GB0009252882","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SAN","SANOFI SA","Equity","0.74","96.44","4,870,671.00","469,734,249.81","469,734,249.81","Health Care","5671735","FR0000120578","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"NOVO B","NOVO NORDISK CLASS B","Equity","0.72","60.12","7,639,588.00","459,273,810.30","459,273,810.30","Health Care","BHC8X90","DK0060534915","Omx Nordic Exchange Copenhagen A/S","Denmark","USD","DKK","6.79"
"RDSB","ROYAL DUTCH SHELL PLC CLASS B","Equity","0.71","27.97","16,147,292.00","451,635,219.85","451,635,219.85","Energy","B03MM40","GB00B03MM408","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"ALV","ALLIANZ","Equity","0.70","241.52","1,835,036.00","443,190,513.29","443,190,513.29","Financials","5231485","DE0008404005","Xetra","Germany","USD","EUR","0.91"
"BATS","BRITISH AMERICAN TOBACCO PLC","Equity","0.68","43.81","9,914,601.00","434,400,806.86","434,400,806.86","Consumer Staples","0287580","GB0002875804","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Equity","0.68","56.73","7,651,557.00","434,107,298.87","434,107,298.87","Financials","6215035","AU000000CBA7","Asx - All Markets","Australia","USD","AUD","1.48"
"SIE","SIEMENS N AG","Equity","0.66","126.90","3,303,879.00","419,268,086.36","419,268,086.36","Industrials","5727973","DE0007236101","Xetra","Germany","USD","EUR","0.91"
"DGE","DIAGEO PLC","Equity","0.66","40.85","10,224,370.00","417,643,665.02","417,643,665.02","Consumer Staples","0237400","GB0002374006","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"CSL","CSL LTD","Equity","0.65","211.12","1,959,123.00","413,617,227.95","413,617,227.95","Health Care","6185495","AU000000CSL8","Asx - All Markets","Australia","USD","AUD","1.48"
"6758","SONY CORP","Equity","0.61","71.22","5,496,900.00","391,491,695.99","391,491,695.99","Consumer Discretionary","6821506","JP3435000009","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"AIR","AIRBUS GROUP","Equity","0.58","147.67","2,522,392.00","372,483,422.58","372,483,422.58","Industrials","4012250","NL0000235190","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"UNA","UNILEVER NV","Equity","0.57","57.07","6,350,605.00","362,432,799.61","362,432,799.61","Consumer Staples","B1527V7","NL0000388619","Euronext Amsterdam","Netherlands","USD","EUR","0.91"
"BHP","BHP GROUP LTD","Equity","0.53","26.40","12,732,937.00","336,178,504.23","336,178,504.23","Materials","6144690","AU000000BHP4","Asx - All Markets","Australia","USD","AUD","1.48"
"BAYN","BAYER AG","Equity","0.53","83.22","4,025,878.00","335,028,665.65","335,028,665.65","Health Care","5069211","DE000BAY0017","Xetra","Germany","USD","EUR","0.91"
"OR","LOREAL SA","Equity","0.49","287.77","1,092,234.00","314,315,542.26","314,315,542.26","Consumer Staples","4057808","FR0000120321","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"ENEL","ENEL","Equity","0.48","8.69","35,154,984.00","305,472,024.94","305,472,024.94","Utilities","7144569","IT0003128367","Borsa Italiana","Italy","USD","EUR","0.91"
"AI","AIR LIQUIDE SA","Equity","0.46","142.35","2,038,868.00","290,225,662.60","290,225,662.60","Materials","B1YXBJ7","FR0000120073","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"9984","SOFTBANK GROUP CORP","Equity","0.45","42.05","6,774,600.00","284,851,011.54","284,851,011.54","Communication","6770620","JP3436100006","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"IBE","IBERDROLA SA","Equity","0.44","10.83","26,118,086.00","282,944,862.57","282,944,862.57","Utilities","B288C92","ES0144580Y14","Bolsa De Madrid","Spain","USD","EUR","0.91"
"SAN","BANCO SANTANDER SA","Equity","0.44","3.91","71,828,949.00","280,583,810.92","280,583,810.92","Financials","5705946","ES0113900J37","Bolsa De Madrid","Spain","USD","EUR","0.91"
"ULVR","UNILEVER PLC","Equity","0.44","58.43","4,797,099.00","280,272,864.45","280,272,864.45","Consumer Staples","B10RZP7","GB00B10RZP78","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Equity","0.43","5.19","53,159,280.00","275,830,128.86","275,830,128.86","Financials","6335171","JP3902900004","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"6861","KEYENCE CORP","Equity","0.43","348.45","788,392.00","274,716,398.75","274,716,398.75","Information Technology","6490995","JP3236200006","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"BAS","BASF N","Equity","0.43","69.13","3,968,311.00","274,317,998.00","274,317,998.00","Materials","5086577","DE000BASF111","Xetra","Germany","USD","EUR","0.91"
"RIO","RIO TINTO PLC","Equity","0.42","55.17","4,897,451.00","270,209,512.75","270,209,512.75","Materials","0718875","GB0007188757","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"ZURN","ZURICH INSURANCE GROUP AG","Equity","0.42","418.24","645,596.00","270,012,066.33","270,012,066.33","Financials","5983816","CH0011075394","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.97"
"BNP","BNP PARIBAS SA","Equity","0.42","54.36","4,861,836.00","264,311,142.23","264,311,142.23","Financials","7309681","FR0000131104","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"ADS","ADIDAS N AG","Equity","0.41","332.16","778,742.00","258,667,018.65","258,667,018.65","Consumer Discretionary","4031976","DE000A1EWWW0","Xetra","Germany","USD","EUR","0.91"
"WBC","WESTPAC BANKING CORPORATION CORP","Equity","0.40","16.88","15,084,618.00","254,647,207.61","254,647,207.61","Financials","6076146","AU000000WBC1","Asx - All Markets","Australia","USD","AUD","1.48"
"4502","TAKEDA PHARMACEUTICAL LTD","Equity","0.40","39.14","6,472,810.00","253,361,227.05","253,361,227.05","Health Care","6870445","JP3463000004","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"ABI","ANHEUSER BUSCH INBEV NV","Equity","0.39","76.22","3,289,296.00","250,718,247.59","250,718,247.59","Consumer Staples","BYYHL23","BE0974293251","Nyse Euronext - Euronext Brussels","Belgium","USD","EUR","0.91"
"RB.","RECKITT BENCKISER GROUP PLC","Equity","0.39","80.99","3,065,912.00","248,322,616.53","248,322,616.53","Consumer Staples","B24CGK7","GB00B24CGK77","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"DG","VINCI SA","Equity","0.39","111.27","2,207,620.00","245,642,004.34","245,642,004.34","Industrials","B1XH026","FR0000125486","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"SU","SCHNEIDER ELECTRIC","Equity","0.38","101.38","2,389,745.00","242,273,801.06","242,273,801.06","Industrials","4834108","FR0000121972","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"DTE","DEUTSCHE TELEKOM N AG","Equity","0.37","16.40","14,404,540.00","236,259,599.12","236,259,599.12","Communication","5842359","DE0005557508","Xetra","Germany","USD","EUR","0.91"
"VOD","VODAFONE GROUP PLC","Equity","0.37","2.03","115,701,212.00","235,308,510.80","235,308,510.80","Communication","BH4HKS3","GB00BH4HKS39","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"6098","RECRUIT HOLDINGS LTD","Equity","0.36","39.49","5,864,400.00","231,588,455.20","231,588,455.20","Industrials","BQRRZ00","JP3970300004","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"9433","KDDI CORP","Equity","0.36","29.96","7,635,500.00","228,771,165.48","228,771,165.48","Communication","6248990","JP3496400007","Tokyo Stock Exchange","Japan","USD","JPY","109.14"
"LLOY","LLOYDS BANKING GROUP PLC","Equity","0.36","0.75","303,059,201.00","226,773,890.51","226,773,890.51","Financials","0870612","GB0008706128","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"SAF","SAFRAN SA","Equity","0.35","158.96","1,414,670.00","224,872,017.49","224,872,017.49","Industrials","B058TZ6","FR0000073272","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"REL","RELX PLC","Equity","0.35","26.56","8,402,518.00","223,180,725.83","223,180,725.83","Industrials","B2B0DG9","GB00B2B0DG97","London Stock Exchange","United Kingdom","USD","GBP","0.77"
"CS","AXA SA","Equity","0.35","26.58","8,351,403.00","222,002,909.43","222,002,909.43","Financials","7088429","FR0000120628","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"NAB","NATIONAL AUSTRALIA BANK LTD","Equity","0.34","17.29","12,457,861.00","215,435,690.10","215,435,690.10","Financials","6624608","AU000000NAB4","Asx - All Markets","Australia","USD","AUD","1.48"
"BN","DANONE SA","Equity","0.34","80.50","2,668,998.00","214,858,766.87","214,858,766.87","Consumer Staples","B1Y9TB3","FR0000120644","Nyse Euronext - Euronext Paris","France","USD","EUR","0.91"
"ANZ","AUSTRALIA AND NEW ZEALAND BANKING","Equity","0.33","17.19","12,249,190.00","210,586,420.84","210,586,420.84","Financials","6065586","AU000000ANZ3","Asx - All Markets","Australia","USD","AUD","1.48"
"UBSG","UBS GROUP AG","Equity","0.33","12.47","16,664,204.00","207,821,284.16","207,821,284.16","Financials","BRJL176","CH0244767585","Six Swiss Exchange Ag","Switzerland","USD","CHF","0.97"
"BHP","BHP GROUP PLC","Equity","0.32","22.37","9,129,068.00","204,246,270.64","204,246,270.64","Materials","BH0P3Z9","GB00BH0P3Z91","London Stock Exchange","United Kingdom","USD","GBP","0.77"
