iShares Residential Real Estate ETF
Fund Holdings as of,"Jan 28, 2020"
Inception Date,"May 01, 2007"
Shares Outstanding,"6,450,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"WELL","WELLTOWER INC","Equity","9.18","86.75","536,400.00","46,532,700.00","46,532,700.00","Real Estate","BYVYHH4","US95040Q1040","New York Stock Exchange Inc."
"PSA","PUBLIC STORAGE REIT","Equity","8.65","223.78","195,988.00","43,858,194.64","43,858,194.64","Real Estate","2852533","US74460D1090","New York Stock Exchange Inc."
"AVB","AVALONBAY COMMUNITIES REIT INC","Equity","7.97","219.27","184,267.00","40,404,225.09","40,404,225.09","Real Estate","2131179","US0534841012","New York Stock Exchange Inc."
"EQR","EQUITY RESIDENTIAL REIT","Equity","7.90","82.72","484,127.00","40,046,985.44","40,046,985.44","Real Estate","2319157","US29476L1070","New York Stock Exchange Inc."
"VTR","VENTAS REIT INC","Equity","5.68","58.45","492,797.00","28,803,984.65","28,803,984.65","Real Estate","2927925","US92276F1003","New York Stock Exchange Inc."
"ESS","ESSEX PROPERTY TRUST REIT INC","Equity","5.27","308.41","86,580.00","26,702,137.80","26,702,137.80","Real Estate","2316619","US2971781057","New York Stock Exchange Inc."
"PEAK","HEALTHPEAK PROPERTIES INC","Equity","4.70","36.71","648,935.00","23,822,403.85","23,822,403.85","Real Estate","BJBLRK3","US42250P1030","New York Stock Exchange Inc."
"INVH","INVITATION HOMES INC","Equity","4.41","31.29","714,631.00","22,360,803.99","22,360,803.99","Real Estate","BD81GW9","US46187W1071","New York Stock Exchange Inc."
"MAA","MID AMERICA APARTMENT COMMUNITIES","Equity","4.12","137.44","151,820.00","20,866,140.80","20,866,140.80","Real Estate","2589132","US59522J1034","New York Stock Exchange Inc."
"SUI","SUN COMMUNITIES REIT INC","Equity","3.79","158.95","120,976.00","19,229,135.20","19,229,135.20","Real Estate","2860257","US8666741041","New York Stock Exchange Inc."
"UDR","UDR REIT INC","Equity","3.69","48.20","387,823.00","18,693,068.60","18,693,068.60","Real Estate","2727910","US9026531049","New York Stock Exchange Inc."
"EXR","EXTRA SPACE STORAGE REIT INC","Equity","3.66","110.52","167,918.00","18,558,297.36","18,558,297.36","Real Estate","B02HWR9","US30225T1025","New York Stock Exchange Inc."
