Name,AssetClass,Weight,Price,MarketValue,NotionalValue,Sector,SEDOL,ISIN,Coupon,Maturity,YTM,Yield to Worst,Duration,Par Value
BLK CSH FND TREASURY SL AGENCY,Money Market,1.58,1.00,31371999.94,31371999.94,Cash and/or Derivatives,--,US0669224778,1.66,--,1.61,1.61,0.11,31372000.00
GE CAPITAL INTERNATIONAL FUNDING C,Fixed Income,0.50,109.89,10023895.02,10023895.02,Finance Companies,BYNWXZ6,US36164QNA21,4.42,"Nov 15, 2035",3.59,3.59,11.51,9055000.00
ANHEUSER-BUSCH COMPANIES LLC,Fixed Income,0.45,123.03,8937016.50,8937016.50,Consumer Non-Cyclical,BJXS2M9,US03522AAJ97,4.90,"Feb 01, 2046",3.54,3.52,15.33,7130000.00
CVS HEALTH CORP,Fixed Income,0.41,120.84,8058377.64,8058377.64,Consumer Non-Cyclical,BF4JKH4,US126650CZ11,5.05,"Mar 25, 2048",3.83,3.82,15.75,6580000.00
GOLDMAN SACHS GROUP INC,Fixed Income,0.30,140.97,6057413.50,6057413.50,Banking,B283338,US38141GFD16,6.75,"Oct 01, 2037",3.60,3.60,11.40,4235000.00
VERIZON COMMUNICATIONS INC,Fixed Income,0.28,129.69,5640737.68,5640737.68,Communications,BDFLJP6,US92343VDS07,5.01,"Apr 15, 2049",3.40,3.40,16.67,4305000.00
ANHEUSER-BUSCH INBEV WORLDWIDE INC,Fixed Income,0.28,134.60,5473326.43,5473326.43,Consumer Non-Cyclical,BJ520Z8,US03523TBV98,5.55,"Jan 23, 2049",3.61,3.60,15.80,3985000.00
ANHEUSER-BUSCH COMPANIES LLC,Fixed Income,0.26,118.60,5155472.41,5155472.41,Consumer Non-Cyclical,BK5XW52,US03522AAH32,4.70,"Feb 01, 2036",3.21,3.17,11.31,4267000.00
AT&T INC,Fixed Income,0.24,112.69,4739587.61,4739587.61,Communications,BD3HCY6,US00206RDJ86,4.50,"Mar 09, 2048",3.76,3.76,16.18,4145000.00
CVS HEALTH CORP,Fixed Income,0.23,116.05,4615601.72,4615601.72,Consumer Non-Cyclical,BF4JK96,US126650CY46,4.78,"Mar 25, 2038",3.57,3.55,12.29,3925000.00
DEUTSCHE TELEKOM INTERNATIONAL FIN,Fixed Income,0.23,149.08,4551129.67,4551129.67,Communications,4081788,US25156PAC77,8.75,"Jun 15, 2030",3.17,3.17,7.57,3035000.00
COMCAST CORPORATION,Fixed Income,0.23,125.61,4529084.22,4529084.22,Communications,BGGFK44,US20030NCM11,4.70,"Oct 15, 2048",3.31,3.30,16.72,3570000.00
VERIZON COMMUNICATIONS INC,Fixed Income,0.23,121.53,4505938.73,4505938.73,Communications,BYRLSF4,US92343VCX01,4.52,"Sep 15, 2048",3.35,3.35,16.85,3660000.00
PETROLEOS MEXICANOS MTN,Fixed Income,0.22,101.81,4313286.92,4313286.92,Owned No Guarantee,BD3NBC5,US71654QCC42,6.75,"Sep 21, 2047",6.61,6.61,12.33,4145000.00
ABBVIE INC 144A,Fixed Income,0.21,108.84,4157344.07,4157344.07,Consumer Non-Cyclical,--,US00287YBS72,4.25,"Nov 21, 2049",3.75,3.75,17.04,3795000.00
AMAZON.COM INC,Fixed Income,0.21,115.72,4094623.70,4094623.70,Consumer Cyclical,BF199R0,US023135BF28,3.88,"Aug 22, 2037",2.74,2.72,12.75,3490000.00
VERIZON COMMUNICATIONS INC,Fixed Income,0.20,118.93,4039488.69,4039488.69,Communications,BF22PM5,US92343VEA89,4.50,"Aug 10, 2033",2.81,2.81,10.30,3340000.00
ABBOTT LABORATORIES,Fixed Income,0.20,132.41,3879935.42,3879935.42,Consumer Non-Cyclical,BYQHX58,US002824BH26,4.90,"Nov 30, 2046",3.11,3.09,16.18,2915000.00
AMGEN INC,Fixed Income,0.19,120.18,3824351.08,3824351.08,Consumer Non-Cyclical,BDRVZ12,US031162CF59,4.66,"Jun 15, 2051",3.59,3.58,17.40,3170000.00
HSBC HOLDINGS PLC,Fixed Income,0.19,137.19,3756490.16,3756490.16,Banking,B13VN63,US404280AG49,6.50,"May 02, 2036",3.49,3.49,10.93,2710000.00
CVS HEALTH CORP,Fixed Income,0.19,120.13,3748644.81,3748644.81,Consumer Non-Cyclical,BYPFC45,US126650CN80,5.13,"Jul 20, 2045",3.87,3.86,15.02,3120000.00
INTERNATIONAL BUSINESS MACHINES CO,Fixed Income,0.18,115.24,3653937.73,3653937.73,Technology,BK5CT25,US459200KB68,4.15,"May 15, 2039",3.10,3.10,13.60,3150000.00
ORANGE SA,Fixed Income,0.18,156.70,3647863.02,3647863.02,Communications,7310155,US35177PAL13,8.50,"Mar 01, 2031",2.97,2.97,7.82,2277000.00
BRISTOL-MYERS SQUIBB CO 144A,Fixed Income,0.18,117.77,3560907.81,3560907.81,Consumer Non-Cyclical,BK62V28,US110122CC04,4.13,"Jun 15, 2039",2.92,2.90,13.62,3013000.00
CONOCOPHILLIPS,Fixed Income,0.18,148.06,3510844.69,3510844.69,Energy,B4T4431,US20825CAQ78,6.50,"Feb 01, 2039",3.13,3.13,12.17,2323000.00
BRITISH TELECOMMUNICATIONS PLC,Fixed Income,0.17,155.43,3436039.61,3436039.61,Communications,B23XQ67,US111021AE12,9.63,"Dec 15, 2030",3.47,3.47,7.68,2197000.00
ABBVIE INC 144A,Fixed Income,0.17,108.27,3410088.96,3410088.96,Consumer Non-Cyclical,BJLPYQ0,US00287YBR99,4.05,"Nov 21, 2039",3.47,3.46,13.63,3130000.00
GENERAL ELECTRIC CO MTN,Fixed Income,0.17,130.57,3396451.28,3396451.28,Capital Goods,BG48W16,US36962GXZ26,6.75,"Mar 15, 2032",3.62,3.62,8.72,2555000.00
PETROLEOS MEXICANOS 144A,Fixed Income,0.17,110.14,3391084.36,3391084.36,Owned No Guarantee,--,US71654QCW06,7.69,"Jan 23, 2050",6.89,6.88,12.08,3010000.00
JPMORGAN CHASE & CO,Fixed Income,0.17,139.80,3357369.39,3357369.39,Banking,B6QKFT9,US46625HJB78,5.60,"Jul 15, 2041",3.06,3.06,13.88,2400000.00
WALMART INC,Fixed Income,0.17,120.25,3349820.74,3349820.74,Consumer Cyclical,BFYK6C4,US931142EC31,4.05,"Jun 29, 2048",2.99,2.98,17.60,2780000.00
