Name|Asset Class|Weight|Price|Market Value|Notional Value|Sector_|SEDOL|ISIN|Coupon|Maturity_|YTM_|Yield to Worst|Duration|Par Value
CHARTER COMMUNICATIONS OPERATING L|Fixed Income|1.50|100.56|97,359,129.94|97,359,129.94|Industrial|BYZNB75|US161175AX26|3.58|Jul 23, 2020|2.40|2.16|0.39|96,750,000.00
ACTAVIS FUNDING SCS|Fixed Income|1.48|100.03|95,947,972.72|95,947,972.72|Industrial|BWDBWX0|US00507UAP66|3.00|Mar 12, 2020|2.71|2.60|0.11|94,829,000.00
CVS HEALTH CORP|Fixed Income|1.34|100.34|86,843,711.91|86,843,711.91|Industrial|BYPZMB2|US126650CJ78|2.80|Jul 20, 2020|2.08|1.93|0.38|86,485,000.00
MEXICO (UNITED MEXICAN STATES) (GO|Cash|1.17|0.53|76,072,992.24|76,072,992.24|Cash and/or Derivatives|--|MXBIGO000OA5|0.00|Feb 27, 2020|6.03|6.03|0.07|143,715,000.00
MEXICO (UNITED MEXICAN STATES) (GO|Cash|1.01|0.53|65,288,339.03|65,288,339.03|Cash and/or Derivatives|--|MXBIGO000P19|0.00|Feb 13, 2020|4.71|4.71|0.04|122,990,000.00
ABBVIE INC|Fixed Income|0.97|100.13|62,909,229.86|62,909,229.86|Industrial|BXC32F6|US00287YAT64|2.50|May 14, 2020|2.05|1.87|0.20|62,500,000.00
FORD MOTOR CREDIT COMPANY LLC|Fixed Income|0.93|100.48|60,189,897.84|60,189,897.84|Industrial|BYZ5LN7|US345397XK41|3.16|Aug 04, 2020|2.20|2.20|0.50|58,995,000.00
FORDF_19-3 A2|Fixed Income|0.92|100.50|59,671,927.46|59,671,927.46|ABS|--|US34528QHB32|2.28|Sep 15, 2024|2.10|2.10|0.06|59,321,000.00
FORDR_19-C A2B|Fixed Income|0.87|100.07|56,080,701.83|56,080,701.83|ABS|--|US34531KAC62|1.87|Jul 15, 2022|1.78|1.78|0.05|56,000,000.00
OCCIDENTAL PETROLEUM CORPORATION|Fixed Income|0.83|100.62|53,776,525.16|53,776,525.16|Industrial|BKKGQJ8|US674599CQ64|3.36|Aug 15, 2022|3.02|2.09|0.05|53,070,000.00
GE CAPITAL INTERNATIONAL FUNDING C|Fixed Income|0.83|100.24|53,636,550.62|53,636,550.62|Financial Institutions|BYNKFH6|US36164QMS48|2.34|Nov 15, 2020|2.04|2.04|0.78|53,250,000.00
GENERAL MOTORS FINANCIAL CO INC|Fixed Income|0.78|100.43|50,292,060.56|50,292,060.56|Industrial|BYM7H38|US37045XAY22|3.20|Jul 13, 2020|2.23|2.02|0.37|50,000,000.00
DUPONT DE NEMOURS INC|Fixed Income|0.74|100.42|47,963,640.74|47,963,640.74|Industrial|BGYGSK1|US26078JAG58|2.62|Nov 15, 2020|1.99|1.99|0.05|47,500,000.00
WILLIAMS COMPANIES INC|Fixed Income|0.68|100.37|44,310,946.75|44,310,946.75|Industrial|B43Y8S0|US96950FAD69|5.25|Mar 15, 2020|2.27|2.27|0.12|43,300,000.00
COMCAST CORPORATION|Fixed Income|0.67|100.60|43,269,252.44|43,269,252.44|Industrial|BF5B2W8|US20030NCW92|2.35|Oct 01, 2021|1.89|1.89|0.17|42,930,000.00
GENERAL MOTORS FINANCIAL CO INC|Fixed Income|0.65|103.57|41,819,200.00|41,819,200.00|Industrial|BGL7X24|US37045XCP96|4.20|Nov 06, 2021|2.13|2.13|1.70|40,000,000.00
DCENT_19-A2 A|Fixed Income|0.64|100.24|41,431,740.29|41,431,740.29|ABS|--|US254683CL75|1.95|Dec 15, 2023|1.77|1.77|0.05|41,300,000.00
BAT CAPITAL CORP|Fixed Income|0.64|101.86|41,251,533.33|41,251,533.33|Industrial|BG5QS55|US05526DAV73|2.76|Aug 15, 2022|2.01|1.98|2.36|40,000,000.00
MORGAN STANLEY MTN|Fixed Income|0.63|102.37|40,968,139.20|40,968,139.20|Financial Institutions|BYQ74P5|US61746BEC63|3.20|Oct 24, 2023|2.55|2.32|0.26|40,000,000.00
CCCIT_17-A5 A5|Fixed Income|0.63|100.74|40,826,139.66|40,826,139.66|ABS|--|US17305EGD13|2.27|Apr 22, 2026|2.13|2.13|0.08|40,505,000.00
