Index,,,,,,
Date,C0A1,C0A0,C0A4,H0A0,H0A2,H0A3
3/31/2000,91,148,192,575,583,1385
4/7/2000,92,151,197,590,599,1423
4/14/2000,92,157,207,592,602,1429
4/20/2000,91,156,206,585,592,1414
4/28/2000,98,163,220,571,568,1406
5/5/2000,97,161,211,573,557,1374
5/12/2000,97,165,218,578,564,1409
5/19/2000,99,168,218,589,578,1420
5/26/2000,99,173,224,618,612,1470
6/2/2000,103,178,228,621,606,1620
6/9/2000,100,172,221,612,596,1603
6/16/2000,100,170,216,619,606,1627
6/23/2000,99,168,213,599,583,1599
6/30/2000,103,171,218,617,608,1568
7/7/2000,103,171,218,620,612,1564
7/14/2000,103,169,215,606,598,1540
7/21/2000,102,167,212,611,602,1545
7/28/2000,100,166,211,615,611,1560
8/4/2000,99,169,214,638,630,1636
8/11/2000,99,169,213,633,626,1639
8/18/2000,96,169,214,640,639,1626
8/25/2000,95,171,219,642,640,1644
9/1/2000,100,172,217,648,666,1643
9/8/2000,100,172,217,632,642,1622
9/15/2000,98,170,217,630,642,1613
9/22/2000,97,169,216,650,672,1662
9/29/2000,96,165,213,672,694,1695
10/6/2000,96,168,219,687,701,1771
10/13/2000,98,176,229,731,749,1825
10/20/2000,100,181,237,759,785,1873
10/27/2000,100,184,245,762,786,1903
11/3/2000,102,187,248,775,798,1916
11/10/2000,103,187,247,785,812,1956
11/17/2000,104,188,249,799,831,1958
11/24/2000,105,192,254,836,884,2032
12/1/2000,109,199,262,898,971,2249
12/8/2000,109,204,271,909,980,2307
12/15/2000,100,199,267,888,946,2265
12/22/2000,100,199,268,906,969,2314
12/29/2000,98,203,271,900,958,2347
1/5/2001,98,200,267,912,947,2406
1/12/2001,95,194,254,838,854,2281
1/19/2001,96,190,245,821,836,2214
1/26/2001,97,184,239,805,815,2191
2/2/2001,93,174,234,773,779,1848
2/9/2001,93,177,235,763,769,1819
2/16/2001,92,178,237,749,757,1787
2/23/2001,90,181,240,767,782,1784
3/2/2001,88,178,239,764,775,1767
3/9/2001,88,176,237,753,767,1739
3/16/2001,89,178,238,800,829,1839
3/23/2001,87,179,241,830,878,1889
3/30/2001,88,177,242,820,864,1866
4/6/2001,91,181,246,875,926,2168
4/12/2001,91,181,247,844,885,2103
4/20/2001,90,178,244,864,874,2312
4/27/2001,85,179,263,817,862,2080
5/4/2001,84,162,217,786,790,1953
5/11/2001,82,161,215,760,766,1899
5/18/2001,81,157,212,763,781,1897
5/25/2001,80,155,208,753,770,1892
6/1/2001,78,153,205,765,792,1929
6/8/2001,76,151,202,767,792,1953
6/15/2001,76,152,203,804,849,1966
6/22/2001,79,156,208,847,906,2050
6/29/2001,80,155,207,816,854,2078
7/6/2001,82,155,210,813,799,2089
7/13/2001,82,154,207,827,825,2120
7/20/2001,82,153,207,839,850,2115
7/27/2001,79,151,205,828,839,2040
8/3/2001,77,149,203,792,797,2002
8/10/2001,77,149,204,799,809,2000
8/17/2001,78,153,208,811,831,2001
8/24/2001,77,153,209,813,836,2046
8/31/2001,76,153,209,805,763,2055
9/7/2001,76,157,214,822,780,2096
9/14/2001,99,180,239,941,913,2292
9/21/2001,91,187,246,989,955,2365
9/28/2001,90,185,249,1025,999,2468
10/5/2001,90,184,246,1010,991,2455
10/12/2001,90,184,245,977,947,2417
10/19/2001,90,183,242,960,929,2369
10/26/2001,87,186,248,962,934,2369
11/2/2001,89,194,258,946,942,2318
11/9/2001,88,191,257,929,915,2317
11/16/2001,84,181,245,838,811,2139
11/23/2001,81,174,237,815,790,2117
11/30/2001,73,171,234,839,735,2287
12/7/2001,70,167,228,801,693,2230
12/14/2001,76,172,234,834,716,2278
12/21/2001,74,170,231,832,723,2260
12/28/2001,69,168,230,833,725,2282
1/4/2002,69,162,216,799,660,2227
1/11/2002,69,165,222,817,683,2231
1/18/2002,70,165,223,828,685,2295
1/25/2002,70,162,220,814,662,2268
2/1/2002,76,171,230,781,663,2119
2/8/2002,77,183,248,808,691,2149
2/15/2002,78,184,251,811,694,2172
2/22/2002,76,187,256,828,707,2208
3/1/2002,76,178,245,799,692,2176
3/8/2002,73,171,235,734,632,2070
3/15/2002,71,169,235,718,616,2018
3/22/2002,74,168,233,708,609,2026
